ZoneId,Description,RegionId,CountryId,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude,LegionDelta,SwarmDelta,FacelessDelta,TotalCount,TotalDelta
1244430,Quar Ah Qahlish,9,2,1,2021-02-08 10:23:22.7100000,913,0,0,2021-02-08 10:23:22.7100000,25.985,56.08639,,,,913,
1244075,Al Hayr,9,2,1,2021-02-08 10:23:19.9530000,913,0,0,2021-02-08 10:23:19.9530000,25.97861,56.08528,,,,913,
1243802,Khawr Khuwayr,9,2,1,2021-02-08 10:23:13.5800000,900,0,0,2021-02-08 10:23:13.5800000,25.96722,56.05444,,,,900,
1243673,Shahawat,9,2,1,2021-02-08 10:23:16.8600000,913,0,0,2021-02-08 10:23:16.8600000,25.96667,56.08333,,,,913,
1242616,Sall,9,2,1,2021-02-08 08:30:25.2500000,900,0,0,2021-02-08 08:30:25.2500000,25.93667,56.17222,,,,900,
1242443,Sayh,9,2,1,2021-02-08 10:23:06.7270000,913,0,0,2021-02-08 10:23:06.7270000,25.93333,56.06667,,,,913,
1241637,Qurm,9,2,1,2021-02-08 08:31:00.0630000,900,0,0,2021-02-08 08:31:00.0630000,25.91139,56.06417,,,,900,
1241547,Yinainir,9,2,1,2021-02-08 08:30:31.5030000,914,0,0,2021-02-08 08:30:31.5030000,25.90806,56.17,,,,914,
1241149,Shah,9,2,1,2021-02-08 08:30:36.6400000,900,0,0,2021-02-08 08:30:36.6400000,25.89861,56.12833,,,,900,
1240473,Ar Rams,9,2,1,2021-02-08 08:30:52.9970000,900,0,0,2021-02-08 08:30:52.9970000,25.87889,56.02361,,,,900,
1238148,Ma`ali,13,2,1,2021-02-08 10:00:55.4900000,913,0,0,2021-02-08 10:00:55.4900000,25.81667,55.975,,,,913,
1237866,Al Mu`amurah,9,2,1,2021-02-08 10:00:59.6330000,913,0,0,2021-02-08 10:00:59.6330000,25.80972,55.97639,,,,913,
1237855,Mu`ayrid,9,2,1,2021-02-08 10:00:51.9530000,913,0,0,2021-02-08 10:00:51.9530000,25.80944,55.9625,,,,913,
1237206,Ra's al Khaymah,9,2,1,2021-02-08 09:39:48.8200000,913,0,0,2021-02-08 09:39:48.8200000,25.79111,55.94278,,,,913,
1237065,Difan,9,2,1,2021-02-08 10:00:46.2700000,913,0,0,2021-02-08 10:00:46.2700000,25.78583,55.94306,,,,913,
1236933,Adh Dharbaniyah,9,2,1,2021-02-08 09:39:53.7400000,913,0,0,2021-02-08 09:39:53.7400000,25.78333,55.93333,,,,913,
1236191,Khazam,9,2,1,2021-02-08 09:39:40.7900000,913,0,0,2021-02-08 09:39:40.7900000,25.765,55.93417,,,,913,
1236051,Dihan,9,2,1,2021-02-08 09:39:45.0070000,913,0,0,2021-02-08 09:39:45.0070000,25.75944,55.925,,,,913,
1235408,Yinas,9,2,1,2021-02-08 08:53:16.7300000,899,0,0,2021-02-08 08:53:16.7300000,25.74139,56.13028,,,,899,
1234727,Salihiyah,9,2,1,2021-02-08 10:01:12.4630000,913,0,0,2021-02-08 10:01:12.4630000,25.72056,55.98806,,,,913,
1234368,Kharran,9,2,1,2021-02-08 09:39:29.9330000,913,0,0,2021-02-08 09:39:29.9330000,25.71306,55.96917,,,,913,
1234189,Hayl,9,2,1,2021-02-08 10:01:19.5970000,913,0,0,2021-02-08 10:01:19.5970000,25.70667,55.98167,,,,913,
1233467,Ham Ham,9,2,1,2021-02-08 10:01:22.8570000,913,0,0,2021-02-08 10:01:22.8570000,25.68611,55.96389,,,,913,
1230943,Dhad al Arab,9,2,1,2021-02-08 09:39:11.7230000,913,0,0,2021-02-08 09:39:11.7230000,25.61667,55.85,,,,913,
1230712,Al Hamraniyah,9,2,1,2021-02-08 09:39:18.6370000,913,0,0,2021-02-08 09:39:18.6370000,25.61139,55.90028,,,,913,
1228416,Riyamah,12,2,1,2021-02-08 08:53:06.9400000,912,0,0,2021-02-08 08:53:06.9400000,25.54611,56.05889,,,,912,
1225509,Gragrah,9,2,1,2021-02-08 08:52:43.3530000,899,0,0,2021-02-08 08:52:43.3530000,25.46472,55.98472,,,,899,
1223643,Faqi,12,2,1,2021-02-08 08:52:58.6070000,912,0,0,2021-02-08 08:52:58.6070000,25.41056,56.13528,,,,912,
1221859,`Uwaynat,8,2,1,2021-02-08 09:16:15.0600000,912,0,0,2021-02-08 09:16:15.0600000,25.365,55.86083,,,,912,
1221491,Falaj al Mu`alla,8,2,1,2021-02-08 09:16:11.4400000,912,0,0,2021-02-08 09:16:11.4400000,25.35306,55.85333,,,,912,
1220331,Hasat al Bidiyah,11,2,1,2021-02-08 08:53:37.5630000,913,0,0,2021-02-08 08:53:37.5630000,25.32056,55.97444,,,,913,
1218891,Adh Dhayd,8,2,1,2021-02-08 08:53:32.8200000,912,0,0,2021-02-08 08:53:32.8200000,25.28222,55.89028,,,,912,
1211951,Al Khari,9,2,1,2021-02-08 09:15:57.6570000,967,0,0,2021-02-08 09:15:57.6570000,25.09639,56.02639,,,,967,
1209194,Shabakah,9,2,1,2021-02-08 08:53:43.9670000,967,0,0,2021-02-08 08:53:43.9670000,25.03333,56,,,,967,
1199193,Bubadi,13,2,1,2021-02-08 09:16:23.9900000,911,0,0,2021-02-08 09:16:23.9900000,24.84167,55.98889,,,,911,
1197610,Sinadil,13,2,1,2021-02-08 09:16:34.4200000,897,0,0,2021-02-08 09:16:34.4200000,24.81278,56.02667,,,,897,
1194268,Ash Shu`ayb,13,2,1,2021-02-08 09:16:53.1430000,1018,0,0,2021-02-08 09:16:53.1430000,24.74556,55.81278,,,,1018,
1186372,Al Khabb,14,2,1,2021-02-08 22:58:28.7130000,1017,0,0,2021-02-08 22:58:28.7130000,24.57806,55.74556,,,,1017,
