ZoneId,Description,RegionId,CountryId,ZoneControlState,DateCapturedUtc,LegionCount,SwarmCount,FacelessCount,LastUpdateDateUtc,Latitude,Longitude,LegionDelta,SwarmDelta,FacelessDelta,TotalCount,TotalDelta
1246786,Sal Dora,9,2,1,2021-02-08 11:07:04.5700000,915,0,0,2021-02-08 11:07:04.5700000,26.05806,56.10528,,,,915,
1246273,Sharyat,9,2,1,2021-02-08 11:07:01.3930000,900,0,0,2021-02-08 11:07:01.3930000,26.04306,56.10806,,,,900,
1246267,Ghubbat Khawrah,9,2,1,2021-02-08 11:06:43.2230000,915,0,0,2021-02-08 11:06:43.2230000,26.04278,56.135,,,,915,
1246258,Al Ghashban,9,2,1,2021-02-08 11:06:49.3500000,915,0,0,2021-02-08 11:06:49.3500000,26.0425,56.11861,,,,915,
1246176,Qaf'ah,9,2,1,2021-02-08 11:06:54.6700000,915,0,0,2021-02-08 11:06:54.6700000,26.03806,56.10861,,,,915,
1246143,Al Qir,9,2,1,2021-02-08 10:44:54.7570000,914,0,0,2021-02-08 10:44:54.7570000,26.03639,56.09778,,,,914,
1246129,Qabas,9,2,1,2021-02-08 10:44:59.3230000,915,0,0,2021-02-08 10:44:59.3230000,26.03556,56.10833,,,,915,
1245888,Al Ghabam,9,2,1,2021-02-08 10:45:17.3800000,914,0,0,2021-02-08 10:45:17.3800000,26.03278,56.15222,,,,914,
1245792,Wayb Hawf,9,2,1,2021-02-08 10:45:02.2700000,914,0,0,2021-02-08 10:45:02.2700000,26.02889,56.12111,,,,914,
1245777,Al Khashfah,9,2,1,2021-02-08 10:45:09.9900000,914,0,0,2021-02-08 10:45:09.9900000,26.02833,56.13944,,,,914,
1245668,Ash Sha`m,9,2,1,2021-02-08 10:23:31.3470000,914,0,0,2021-02-08 10:23:31.3470000,26.02444,56.08389,,,,914,
1245600,Al Fay`,9,2,1,2021-02-08 10:44:51.2200000,913,0,0,2021-02-08 10:44:51.2200000,26.02139,56.09139,,,,913,
1245314,Harat `Awali,9,2,1,2021-02-08 10:45:05.8630000,914,0,0,2021-02-08 10:45:05.8630000,26.01639,56.1325,,,,914,
1244736,Ghalilah,9,2,1,2021-02-08 10:23:27.9600000,900,0,0,2021-02-08 10:23:27.9600000,25.9975,56.07444,,,,900,
